conv_filter_count,conv_kernel_size,embedding_size,num_layers,epoch,acc,auroc,f1
8,3,256,3,10,22.0834,0.6564,0.09055
8,3,256,3,15,26.8262,0.7214,0.1744
8,3,256,3,20,37.5397,0.7723,0.2749
8,3,256,3,25,45.1408,0.8069,0.3473
8,3,256,3,30,47.5969,0.8202,0.3777
8,3,256,3,35,49.2060,0.8385,0.3879
8,3,256,3,40,51.6197,0.8522,0.4152
8,3,256,3,45,53.0807,0.8577,0.4412
8,3,256,3,50,54.6475,0.8635,0.4662
16,2,256,3,5,16.8537,0.6213,0.04595
16,2,256,3,10,21.7447,0.6621,0.1181
16,2,256,3,15,34.5755,0.7399,0.2143
16,2,256,3,20,42.8753,0.7994,0.3555
16,2,256,3,25,48.7614,0.8278,0.4076
16,2,256,3,30,52.0008,0.8468,0.4439
16,2,256,3,35,53.4194,0.8638,0.4669
16,2,256,3,40,54.4781,0.8706,0.4797
16,2,256,3,45,55.6849,0.8805,0.5017
16,2,256,3,50,56.2990,0.8837,0.5118
16,3,256,3,5,21.8717,0.6218,0.04486
16,3,256,3,10,29.5151,0.7289,0.1731
16,3,256,3,15,42.2824,0.79,0.3324
16,3,256,3,20,48.3803,0.8281,0.3982
16,3,256,3,25,51.9797,0.8564,0.4557
16,3,256,3,30,54.4146,0.8717,0.4845
16,3,256,3,35,55.6638,0.8781,0.4952
16,3,256,3,40,56.7224,0.8836,0.5138
16,3,256,3,45,56.7859,0.8868,0.521
16,3,256,3,50,57.3364,0.8894,0.5251
2,2,256,6,5,12.7885,0.4711,0.02268
2,2,256,6,10,12.7885,0.4977,0.02268
2,2,256,6,15,22.2105,0.567,0.03635
2,2,256,6,20,22.7610,0.5872,0.04712
2,2,256,6,25,25.1535,0.6391,0.07101
2,2,256,6,30,26.3392,0.6802,0.1039
2,2,256,6,35,28.3506,0.6996,0.111
2,2,256,6,40,28.5624,0.7027,0.1108
2,2,256,6,45,28.3294,0.7026,0.1076
2,2,256,6,50,28.4565,0.7077,0.1082
8,2,256,6,5,15.9644,0.576,0.02754
8,2,256,6,10,20.0296,0.5536,0.04224
8,2,256,6,15,22.7610,0.6315,0.06507
8,2,256,6,20,26.7415,0.711,0.1105
8,2,256,6,25,36.8622,0.7601,0.238
8,2,256,6,30,39.9534,0.7769,0.2796
8,2,256,6,35,45.2890,0.8112,0.3401
8,2,256,6,40,45.8395,0.8181,0.3436
8,2,256,6,45,46.3477,0.8219,0.3559
8,2,256,6,50,47.0887,0.8249,0.3552
16,2,256,6,5,22.2105,0.6148,0.03635
16,2,256,6,10,21.3000,0.6485,0.04962
16,2,256,6,15,28.3718,0.7286,0.114
16,2,256,6,20,36.2693,0.7613,0.2223
16,2,256,6,25,39.4664,0.7767,0.2754
16,2,256,6,30,41.4144,0.7783,0.2969
16,2,256,6,35,41.5626,0.7858,0.2931
16,2,256,6,40,46.6017,0.8183,0.3547
16,2,256,6,45,48.5073,0.8385,0.3902
16,2,256,6,50,49.8412,0.8438,0.4057
2,2,256,10,5,15.9644,0.5776,0.02753
2,2,256,10,10,15.9644,0.5972,0.02753
2,2,256,10,15,15.9644,0.6179,0.02753
2,2,256,10,20,16.0703,0.652,0.03685
2,2,256,10,25,26.0428,0.67,0.1213
2,2,256,10,30,27.2708,0.6837,0.1113
2,2,256,10,35,27.3343,0.6904,0.1073
2,2,256,10,40,27.4190,0.6957,0.1042
2,2,256,10,45,27.8001,0.6979,0.1058
2,2,256,10,50,28.1177,0.7006,0.1046
8,2,256,10,5,3.8535,0.5877,0.007421
8,2,256,10,10,15.9644,0.5649,0.02753
8,2,256,10,15,21.9564,0.633,0.04707
8,2,256,10,20,24.2854,0.6924,0.1199
8,2,256,10,25,35.2530,0.7542,0.2247
8,2,256,10,30,37.6879,0.7681,0.2542
8,2,256,10,35,37.7938,0.77,0.2472
8,2,256,10,40,38.4925,0.7711,0.2513
8,2,256,10,45,38.5137,0.7728,0.2578
8,2,256,10,50,39.4241,0.7745,0.2619
16,2,256,10,5,12.7885,0.6047,0.02268
16,2,256,10,10,22.1046,0.5748,0.03628
16,2,256,10,15,23.3961,0.6619,0.09724
16,2,256,10,20,27.6943,0.6975,0.1162
16,2,256,10,25,28.8588,0.7043,0.1322
16,2,256,10,30,30.0445,0.7064,0.1234
16,2,256,10,35,30.8702,0.7218,0.1512
16,2,256,10,40,29.2611,0.7239,0.148
16,2,256,10,45,35.9094,0.7462,0.222
16,2,256,10,50,38.1114,0.7702,0.2614
2,2,512,1,5,19.6485,0.5274,0.05477
2,2,512,1,10,21.0883,0.5557,0.06394
2,2,512,1,15,22.5704,0.5777,0.07061
2,2,512,1,20,22.7398,0.5955,0.07132
2,2,512,1,25,22.6974,0.6077,0.08792
2,2,512,1,30,26.0428,0.6204,0.1188
2,2,512,1,35,31.4842,0.65,0.1471
2,2,512,1,40,32.2253,0.6807,0.1615
2,2,512,1,45,32.7334,0.6985,0.1623
2,2,512,1,50,32.9240,0.7054,0.1688
2,3,512,1,5,7.6858,0.5885,0.04244
2,3,512,1,10,10.5865,0.6281,0.05102
2,3,512,1,15,11.6663,0.6443,0.05405
2,3,512,1,20,13.3390,0.6591,0.06838
2,3,512,1,25,20.9401,0.6708,0.1267
2,3,512,1,30,24.0949,0.6733,0.136
2,3,512,1,35,32.1829,0.6831,0.1663
2,3,512,1,40,28.7529,0.6959,0.13
2,3,512,1,45,35.7400,0.7039,0.1861
2,3,512,1,50,37.8361,0.7115,0.2068
8,2,512,1,5,18.4205,0.6214,0.09882
8,2,512,1,10,26.1486,0.6685,0.1244
8,2,512,1,15,31.8653,0.7161,0.1644
8,2,512,1,20,36.2693,0.7427,0.2111
8,2,512,1,25,40.5886,0.7714,0.2875
8,2,512,1,30,44.7173,0.7952,0.349
8,2,512,1,35,47.3428,0.8161,0.3897
8,2,512,1,40,49.1637,0.8283,0.4153
8,2,512,1,45,50.6669,0.839,0.4288
8,2,512,1,50,51.2598,0.8429,0.437
8,3,512,1,5,25.4499,0.6805,0.1467
8,3,512,1,10,35.9517,0.7268,0.2294
8,3,512,1,15,41.1179,0.7618,0.275
8,3,512,1,20,45.5431,0.7889,0.336
8,3,512,1,25,48.7826,0.8106,0.3872
8,3,512,1,30,50.7728,0.8265,0.4094
8,3,512,1,35,51.4292,0.837,0.4242
8,3,512,1,40,52.6360,0.8448,0.439
8,3,512,1,45,54.3510,0.851,0.4663
8,3,512,1,50,55.0074,0.8551,0.4779
16,2,512,1,5,25.5981,0.6847,0.09218
16,2,512,1,10,35.5494,0.7466,0.2305
16,2,512,1,15,44.2939,0.7914,0.329
16,2,512,1,20,48.6979,0.8277,0.3939
16,2,512,1,25,51.9373,0.8494,0.4422
16,2,512,1,30,54.7745,0.8644,0.4838
16,2,512,1,35,56.1084,0.8727,0.5036
16,2,512,1,40,57.2729,0.8793,0.5112
16,2,512,1,45,58.6915,0.884,0.523
16,2,512,1,50,59.1573,0.8865,0.5347
16,3,512,1,5,25.0053,0.7015,0.09299
16,3,512,1,10,43.1717,0.7817,0.3285
16,3,512,1,15,52.0432,0.841,0.4248
16,3,512,1,20,56.8283,0.8689,0.4955
16,3,512,1,25,58.6915,0.8834,0.5233
16,3,512,1,30,59.9619,0.8911,0.5432
16,3,512,1,35,60.4277,0.8957,0.5494
16,3,512,1,40,61.1264,0.8995,0.5539
16,3,512,1,45,61.7192,0.9004,0.5586
16,3,512,1,50,61.9098,0.903,0.5603
2,2,512,3,5,3.8535,0.5687,0.007421
2,2,512,3,10,3.9382,0.5941,0.00819
2,2,512,3,15,9.5914,0.6168,0.04114
2,2,512,3,20,17.9970,0.6387,0.05625
2,2,512,3,25,20.6648,0.6529,0.05357
2,2,512,3,30,21.7023,0.6531,0.05417
2,2,512,3,35,24.7936,0.6576,0.0911
2,2,512,3,40,26.2968,0.6727,0.1004
2,2,512,3,45,26.3815,0.6868,0.09521
2,2,512,3,50,27.8636,0.7002,0.1056
2,3,512,3,5,4.8274,0.5851,0.00921
2,3,512,3,10,8.7868,0.6144,0.03914
2,3,512,3,15,21.1518,0.6488,0.07973
2,3,512,3,20,25.0053,0.6667,0.08562
2,3,512,3,25,29.0070,0.6839,0.1328
2,3,512,3,30,29.7269,0.6976,0.139
2,3,512,3,35,30.1503,0.7031,0.1424
2,3,512,3,40,32.3100,0.7089,0.1684
2,3,512,3,45,33.6015,0.7198,0.1825
2,3,512,3,50,34.3214,0.7308,0.1996
8,2,512,3,5,14.5247,0.6041,0.04423
8,2,512,3,10,24.9206,0.655,0.08987
8,2,512,3,15,28.5624,0.6895,0.144
8,2,512,3,20,36.6928,0.7337,0.2251
8,2,512,3,25,42.0919,0.7706,0.2635
8,2,512,3,30,45.4372,0.7974,0.3363
8,2,512,3,35,47.8933,0.8142,0.3712
8,2,512,3,40,49.4601,0.8289,0.4013
8,2,512,3,45,50.2435,0.8373,0.4162
8,2,512,3,50,51.2386,0.8461,0.4348
8,3,512,3,5,11.5181,0.6016,0.04131
8,3,512,3,10,25.1323,0.6773,0.1022
8,3,512,3,15,33.2628,0.7343,0.1898
8,3,512,3,20,39.6147,0.7793,0.2606
8,3,512,3,25,45.9877,0.8134,0.3571
8,3,512,3,30,49.2907,0.8365,0.3925
8,3,512,3,35,50.5187,0.8504,0.4175
8,3,512,3,40,52.3184,0.856,0.4405
8,3,512,3,45,52.7631,0.8614,0.449
8,3,512,3,50,52.9536,0.8657,0.4534
16,2,512,3,5,14.9693,0.6458,0.03993
16,2,512,3,10,28.7529,0.705,0.1581
16,2,512,3,15,38.5137,0.7701,0.2487
16,2,512,3,20,47.0040,0.8125,0.3699
16,2,512,3,25,50.4340,0.8403,0.4344
16,2,512,3,30,51.9373,0.8566,0.4571
16,2,512,3,35,53.4830,0.8681,0.4838
16,2,512,3,40,54.4569,0.8726,0.4878
16,2,512,3,45,55.0074,0.878,0.4981
16,2,512,3,50,56.1719,0.8828,0.5188
16,3,512,3,5,22.6127,0.6605,0.04454
16,3,512,3,10,29.7480,0.7139,0.163
16,3,512,3,15,42.9812,0.7915,0.3196
16,3,512,3,20,47.5333,0.8237,0.3911
16,3,512,3,25,51.4080,0.8477,0.4512
16,3,512,3,30,53.7794,0.866,0.4882
16,3,512,3,35,55.7908,0.8766,0.5048
16,3,512,3,40,56.7859,0.8821,0.5108
16,3,512,3,45,57.5270,0.8871,0.5197
16,3,512,3,50,58.0987,0.8904,0.5313
2,2,512,6,5,13.7413,0.561,0.02416
2,2,512,6,10,13.7413,0.5672,0.02416
2,2,512,6,15,18.1876,0.5514,0.0581
2,2,512,6,20,23.0997,0.5705,0.06856
2,2,512,6,25,22.9727,0.6262,0.06361
2,2,512,6,30,24.1795,0.6665,0.09082
2,2,512,6,35,27.0167,0.6924,0.1342
2,2,512,6,40,29.0705,0.7113,0.1543
2,2,512,6,45,30.5103,0.7159,0.1722
2,2,512,6,50,31.0608,0.717,0.1682
8,2,512,6,5,11.0311,0.6342,0.01987
8,2,512,6,10,11.0311,0.6403,0.01987
8,2,512,6,15,27.2285,0.6662,0.1145
8,2,512,6,20,31.2937,0.7315,0.1996
8,2,512,6,25,37.1162,0.7645,0.2345
8,2,512,6,30,40.1651,0.784,0.2901
8,2,512,6,35,41.0968,0.7941,0.3183
8,2,512,6,40,42.2613,0.7992,0.3369
8,2,512,6,45,44.3362,0.8058,0.3553
8,2,512,6,50,44.7385,0.8136,0.3473
16,2,512,6,5,15.9644,0.6047,0.02753
16,2,512,6,10,21.9564,0.6427,0.03791
16,2,512,6,15,32.3100,0.7282,0.2029
16,2,512,6,20,38.0479,0.766,0.2417
16,2,512,6,25,40.4616,0.7808,0.2823
16,2,512,6,30,44.8020,0.7967,0.3546
16,2,512,6,35,47.8086,0.8223,0.3847
16,2,512,6,40,48.7826,0.8366,0.3951
16,2,512,6,45,49.7565,0.8445,0.4144
16,2,512,6,50,49.8624,0.8489,0.4281
2,2,512,10,5,22.2105,0.5559,0.03635
2,2,512,10,10,22.2105,0.566,0.03635
2,2,512,10,15,22.2105,0.5612,0.03635
2,2,512,10,20,22.2105,0.5604,0.03635
2,2,512,10,25,22.5069,0.5921,0.05883
2,2,512,10,30,24.8359,0.6674,0.08686
2,2,512,10,35,26.6780,0.6886,0.1185
2,2,512,10,40,29.1340,0.702,0.1156
2,2,512,10,45,29.7904,0.7085,0.1194
2,2,512,10,50,30.0868,0.7112,0.1347
8,2,512,10,5,12.7885,0.5821,0.02268
8,2,512,10,10,22.2105,0.5628,0.03635
8,2,512,10,15,22.2105,0.616,0.03635
8,2,512,10,20,26.9109,0.6815,0.09399
8,2,512,10,25,27.8213,0.6946,0.09607
8,2,512,10,30,27.6943,0.7004,0.08771
8,2,512,10,35,27.6096,0.7027,0.08578
8,2,512,10,40,29.6210,0.7135,0.1497
8,2,512,10,45,30.5314,0.7212,0.1455
8,2,512,10,50,35.7823,0.7466,0.2182
16,2,512,10,5,3.8535,0.5688,0.007421
16,2,512,10,10,22.0834,0.5685,0.05443
16,2,512,10,15,23.1421,0.655,0.06161
16,2,512,10,20,27.4825,0.699,0.09613
16,2,512,10,25,27.6307,0.7045,0.09243
16,2,512,10,30,27.6731,0.7038,0.09146
16,2,512,10,35,27.8425,0.7074,0.09402
16,2,512,10,40,29.3246,0.718,0.138
16,2,512,10,45,31.0184,0.726,0.1525
16,2,512,10,50,34.2791,0.7444,0.2027
