rnn_type,embedding_size,num_layers,epoch,acc,auroc,f1
lstm,256,10,20,25.0688,0.6012,0.07581
lstm,256,10,25,28.0754,0.6787,0.1109
lstm,256,10,30,28.2448,0.6618,0.1297
lstm,256,10,35,25.2170,0.6435,0.07873
lstm,256,10,40,29.7269,0.6871,0.1275
lstm,256,10,45,29.8963,0.6884,0.1203
lstm,256,10,50,30.7643,0.7095,0.1592
rnn,512,1,5,38.5772,0.751,0.2439
rnn,512,1,10,55.6426,0.8606,0.4588
rnn,512,1,15,62.1427,0.8943,0.5634
rnn,512,1,20,66.3985,0.9208,0.622
rnn,512,1,25,67.7535,0.928,0.6345
rnn,512,1,30,68.8969,0.9353,0.6462
rnn,512,1,35,68.9392,0.936,0.6479
rnn,512,1,40,69.9132,0.9388,0.6633
rnn,512,1,45,69.3627,0.938,0.6598
rnn,512,1,50,70.3367,0.9368,0.6627
rnn,512,3,5,49.6718,0.8146,0.3577
rnn,512,3,10,64.2177,0.907,0.5751
rnn,512,3,15,68.1135,0.934,0.6548
rnn,512,3,20,70.1461,0.9381,0.6675
rnn,512,3,25,70.5060,0.9424,0.6721
rnn,512,3,30,69.4474,0.9325,0.6599
rnn,512,3,35,69.6591,0.9323,0.6648
rnn,512,3,40,69.9555,0.9293,0.6647
rnn,512,3,45,69.3415,0.9371,0.6577
rnn,512,3,50,70.0402,0.9299,0.6685
rnn,512,6,5,52.9748,0.842,0.4021
rnn,512,6,10,63.5613,0.9115,0.5858
rnn,512,6,15,69.1933,0.9308,0.655
rnn,512,6,20,68.4734,0.9305,0.6377
rnn,512,6,25,69.6591,0.9316,0.6576
rnn,512,6,30,68.1347,0.922,0.6479
rnn,512,6,35,68.7487,0.926,0.6586
rnn,512,6,40,68.2405,0.9211,0.6471
rnn,512,6,45,67.4360,0.9212,0.6439
rnn,512,6,50,69.0874,0.9227,0.652
rnn,512,10,5,54.8169,0.8455,0.4318
rnn,512,10,10,63.5613,0.9029,0.5682
rnn,512,10,15,67.2454,0.917,0.6244
rnn,512,10,20,68.7063,0.925,0.6536
rnn,512,10,25,67.5630,0.9218,0.6366
rnn,512,10,30,63.5401,0.9102,0.6043
rnn,512,10,35,67.8806,0.9136,0.6431
rnn,512,10,40,66.5890,0.9139,0.622
rnn,512,10,45,67.3089,0.912,0.6277
rnn,512,10,50,67.4995,0.9131,0.6353
gru,512,1,5,36.6293,0.7398,0.2253
gru,512,1,10,57.8869,0.8733,0.4751
gru,512,1,15,67.0760,0.9172,0.6148
gru,512,1,20,70.3790,0.937,0.6644
gru,512,1,25,71.2683,0.942,0.6735
gru,512,1,30,71.6494,0.9446,0.6851
gru,512,1,35,72.0940,0.9417,0.6878
gru,512,1,40,72.1575,0.9413,0.6944
gru,512,1,45,71.8611,0.938,0.6867
gru,512,1,50,71.3741,0.9387,0.6857
gru,512,3,5,46.3053,0.7941,0.319
gru,512,3,10,64.7682,0.9112,0.586
gru,512,3,15,68.6005,0.9343,0.6464
gru,512,3,20,71.0565,0.9379,0.6729
gru,512,3,25,70.4637,0.9384,0.6754
gru,512,3,30,70.0826,0.9337,0.665
gru,512,3,35,70.5696,0.9339,0.6773
gru,512,3,40,68.9392,0.9301,0.6594
gru,512,3,45,70.9718,0.934,0.6775
gru,512,3,50,70.6966,0.9297,0.675
gru,512,6,5,48.3591,0.7974,0.3472
gru,512,6,10,63.6883,0.9077,0.5776
gru,512,6,15,68.7487,0.9266,0.6484
gru,512,6,20,68.7910,0.9314,0.6538
gru,512,6,25,70.3367,0.9324,0.675
gru,512,6,30,69.5533,0.9227,0.6655
gru,512,6,35,69.4050,0.9213,0.6635
gru,512,6,40,69.7226,0.9222,0.6649
gru,512,6,45,69.7015,0.9143,0.6642
gru,512,6,50,69.1721,0.9172,0.6604
gru,512,10,5,41.2873,0.7629,0.2579
gru,512,10,10,57.0400,0.8605,0.4548
gru,512,10,15,65.3187,0.9079,0.609
gru,512,10,20,64.0271,0.9159,0.6195
gru,512,10,25,69.6803,0.928,0.6652
gru,512,10,30,69.5956,0.9124,0.6483
gru,512,10,35,69.6379,0.913,0.6661
gru,512,10,40,69.4050,0.9087,0.6528
gru,512,10,45,68.9816,0.9059,0.66
gru,512,10,50,68.5793,0.9073,0.6554
lstm,512,1,5,31.4207,0.712,0.1649
lstm,512,1,10,58.7339,0.8679,0.4732
lstm,512,1,15,67.1607,0.9172,0.6181
lstm,512,1,20,69.5109,0.9311,0.6515
lstm,512,1,25,69.9344,0.9351,0.6591
lstm,512,1,30,70.1249,0.9371,0.6676
lstm,512,1,35,69.5109,0.9392,0.6612
lstm,512,1,40,70.9083,0.9396,0.6773
lstm,512,1,45,70.3155,0.9354,0.6682
lstm,512,1,50,71.2047,0.94,0.6814
