model,epoch,acc,auroc,f1,hyperparams
cnn,25,45.1408,0.8069,0.3473,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 8; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f6a3cfaa160>}
cnn,30,47.5969,0.8202,0.3777,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 8; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f6a3cfaa160>}
cnn,35,49.2060,0.8385,0.3879,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 8; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f6a3cfaa160>}
cnn,40,51.6197,0.8522,0.4152,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 8; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f6a3cfaa160>}
cnn,45,53.0807,0.8577,0.4412,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 8; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f6a3cfaa160>}
cnn,50,54.6475,0.8635,0.4662,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 8; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f6a3cfaa160>}
cnn,5,16.8537,0.6213,0.04595,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f1e863b2160>}
cnn,10,21.7447,0.6621,0.1181,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f1e863b2160>}
cnn,15,34.5755,0.7399,0.2143,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f1e863b2160>}
cnn,20,42.8753,0.7994,0.3555,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f1e863b2160>}
cnn,25,48.7614,0.8278,0.4076,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f1e863b2160>}
cnn,30,52.0008,0.8468,0.4439,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f1e863b2160>}
cnn,35,53.4194,0.8638,0.4669,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f1e863b2160>}
cnn,40,54.4781,0.8706,0.4797,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f1e863b2160>}
cnn,45,55.6849,0.8805,0.5017,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f1e863b2160>}
cnn,50,56.2990,0.8837,0.5118,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f1e863b2160>}
cnn,5,21.8717,0.6218,0.04486,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f53a168e160>}
cnn,10,29.5151,0.7289,0.1731,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f53a168e160>}
cnn,15,42.2824,0.79,0.3324,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f53a168e160>}
cnn,20,48.3803,0.8281,0.3982,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f53a168e160>}
cnn,25,51.9797,0.8564,0.4557,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f53a168e160>}
cnn,30,54.4146,0.8717,0.4845,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f53a168e160>}
cnn,35,55.6638,0.8781,0.4952,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f53a168e160>}
cnn,40,56.7224,0.8836,0.5138,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f53a168e160>}
cnn,45,56.7859,0.8868,0.521,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f53a168e160>}
cnn,50,57.3364,0.8894,0.5251,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 3; 'conv_filter_count': 16; 'conv_kernel_size': 3; 'factory': <function build_cnn at 0x7f53a168e160>}
cnn,5,12.7885,0.4711,0.02268,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fabc744e160>}
cnn,10,12.7885,0.4977,0.02268,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fabc744e160>}
cnn,15,22.2105,0.567,0.03635,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fabc744e160>}
cnn,20,22.7610,0.5872,0.04712,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fabc744e160>}
cnn,25,25.1535,0.6391,0.07101,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fabc744e160>}
cnn,30,26.3392,0.6802,0.1039,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fabc744e160>}
cnn,35,28.3506,0.6996,0.111,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fabc744e160>}
cnn,40,28.5624,0.7027,0.1108,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fabc744e160>}
cnn,45,28.3294,0.7026,0.1076,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fabc744e160>}
cnn,50,28.4565,0.7077,0.1082,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fabc744e160>}
cnn,5,15.9644,0.576,0.02754,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f57072d2160>}
cnn,10,20.0296,0.5536,0.04224,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f57072d2160>}
cnn,15,22.7610,0.6315,0.06507,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f57072d2160>}
cnn,20,26.7415,0.711,0.1105,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f57072d2160>}
cnn,25,36.8622,0.7601,0.238,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f57072d2160>}
cnn,30,39.9534,0.7769,0.2796,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f57072d2160>}
cnn,35,45.2890,0.8112,0.3401,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f57072d2160>}
cnn,40,45.8395,0.8181,0.3436,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f57072d2160>}
cnn,45,46.3477,0.8219,0.3559,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f57072d2160>}
cnn,50,47.0887,0.8249,0.3552,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f57072d2160>}
cnn,5,22.2105,0.6148,0.03635,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f14f6c72160>}
cnn,10,21.3000,0.6485,0.04962,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f14f6c72160>}
cnn,15,28.3718,0.7286,0.114,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f14f6c72160>}
cnn,20,36.2693,0.7613,0.2223,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f14f6c72160>}
cnn,25,39.4664,0.7767,0.2754,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f14f6c72160>}
cnn,30,41.4144,0.7783,0.2969,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f14f6c72160>}
cnn,35,41.5626,0.7858,0.2931,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f14f6c72160>}
cnn,40,46.6017,0.8183,0.3547,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f14f6c72160>}
cnn,45,48.5073,0.8385,0.3902,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f14f6c72160>}
cnn,50,49.8412,0.8438,0.4057,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 6; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f14f6c72160>}
cnn,5,15.9644,0.5776,0.02753,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f683c9ae160>}
cnn,10,15.9644,0.5972,0.02753,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f683c9ae160>}
cnn,15,15.9644,0.6179,0.02753,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f683c9ae160>}
cnn,20,16.0703,0.652,0.03685,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f683c9ae160>}
cnn,25,26.0428,0.67,0.1213,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f683c9ae160>}
cnn,30,27.2708,0.6837,0.1113,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f683c9ae160>}
cnn,35,27.3343,0.6904,0.1073,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f683c9ae160>}
cnn,40,27.4190,0.6957,0.1042,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f683c9ae160>}
cnn,45,27.8001,0.6979,0.1058,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f683c9ae160>}
cnn,50,28.1177,0.7006,0.1046,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 2; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7f683c9ae160>}
cnn,5,3.8535,0.5877,0.007421,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fa88e0d2160>}
cnn,10,15.9644,0.5649,0.02753,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fa88e0d2160>}
cnn,15,21.9564,0.633,0.04707,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fa88e0d2160>}
cnn,20,24.2854,0.6924,0.1199,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fa88e0d2160>}
cnn,25,35.2530,0.7542,0.2247,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fa88e0d2160>}
cnn,30,37.6879,0.7681,0.2542,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fa88e0d2160>}
cnn,35,37.7938,0.77,0.2472,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fa88e0d2160>}
cnn,40,38.4925,0.7711,0.2513,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fa88e0d2160>}
cnn,45,38.5137,0.7728,0.2578,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fa88e0d2160>}
cnn,50,39.4241,0.7745,0.2619,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 8; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fa88e0d2160>}
cnn,5,12.7885,0.6047,0.02268,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fc3f72f2160>}
cnn,10,22.1046,0.5748,0.03628,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fc3f72f2160>}
cnn,15,23.3961,0.6619,0.09724,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'num_layers': 10; 'conv_filter_count': 16; 'conv_kernel_size': 2; 'factory': <function build_cnn at 0x7fc3f72f2160>}
