model,epoch,acc,auroc,f1,hyperparams
rnn,40,68.0711,0.9278,0.6526,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f2dd815fe20>}
rnn,45,69.5109,0.9307,0.6629,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f2dd815fe20>}
rnn,50,69.5744,0.9304,0.6607,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f2dd815fe20>}
rnn,5,47.1734,0.7972,0.3209,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,10,61.1476,0.8925,0.5348,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,15,67.7959,0.9214,0.6355,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,20,69.3839,0.931,0.6552,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,25,68.3252,0.9263,0.6514,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,30,68.4946,0.9245,0.6484,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,35,69.0239,0.9285,0.6479,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,40,67.5206,0.9177,0.6373,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,45,69.2357,0.9215,0.6499,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,50,68.4734,0.9171,0.6497,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,5,50.2011,0.809,0.3489,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f3f117a0220>}
rnn,10,61.4016,0.8915,0.5232,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f3f117a0220>}
rnn,15,63.7307,0.9084,0.589,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f3f117a0220>}
rnn,20,66.9913,0.9128,0.6137,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f3f117a0220>}
rnn,25,65.7633,0.9102,0.6124,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f3f117a0220>}
rnn,30,68.7910,0.9136,0.6396,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f3f117a0220>}
rnn,35,66.0385,0.9081,0.6229,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f3f117a0220>}
rnn,40,66.4620,0.9135,0.6265,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f3f117a0220>}
rnn,45,66.6314,0.9039,0.6287,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f3f117a0220>}
rnn,50,66.3561,0.9032,0.6097,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 10; 'factory': <function build_rnn at 0x7f3f117a0220>}
rnn,5,24.9418,0.6884,0.07768,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'gru'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f8a0cdd7e20>}
